Region,Country,Item Type,Sales Channel,Order ID,Units Sold,Unit Price,Unit Cost,Total Profit
Central America and the Caribbean,Antigua and Barbuda ,Baby Food,Online,957081544,552,255.28,159.42,52914.72
Central America and the Caribbean,Panama,Snacks,Offline,301644504,2167,152.58,97.44,119488.38
Europe,Czech Republic,Beverages,Offline,478051030,4778,47.45,31.79,74823.48
Asia,North Korea,Cereal,Offline,892599952,9016,205.7,117.11,798727.44
Asia,Sri Lanka,Snacks,Offline,571902596,7542,152.58,97.44,415865.88
Middle East and North Africa,Morocco,Personal Care,Offline,412882792,48,81.73,56.67,1202.88
Australia and Oceania,Federated States of Micronesia,Clothes,Offline,932776868,8258,109.28,35.84,606467.52
Europe,Bosnia and Herzegovina,Clothes,Online,919133651,927,109.28,35.84,68078.88
Middle East and North Africa,Afghanistan,Clothes,Offline,579814469,8841,109.28,35.84,649283.04
Sub-Saharan Africa,Ethiopia,Baby Food,Online,192993152,9817,255.28,159.42,941057.62
Middle East and North Africa,Turkey,Office Supplies,Offline,557156026,3704,651.21,524.96,467630
Middle East and North Africa,Oman,Cosmetics,Online,741101920,7382,437.2,263.33,1283508.34
Asia,Malaysia,Cereal,Offline,333942162,9762,205.7,117.11,864815.58
Central America and the Caribbean,Saint Lucia,Cosmetics,Offline,795100581,6786,437.2,263.33,1179881.82
Central America and the Caribbean,Saint Vincent and the Grenadines,Baby Food,Online,504313504,6428,255.28,159.42,616188.08
Middle East and North Africa,Lebanon,Meat,Offline,611629760,3693,421.89,364.69,211239.6
Europe,Austria,Cereal,Offline,987410676,5616,205.7,117.11,497521.44
Europe,Bulgaria,Office Supplies,Online,672330081,6266,651.21,524.96,791082.5
North America,Mexico,Beverages,Online,127374303,1742,47.45,31.79,27279.72
Central America and the Caribbean,Trinidad and Tobago,Baby Food,Offline,783842170,5172,255.28,159.42,495787.92
Middle East and North Africa,Libya,Beverages,Offline,993345010,1718,47.45,31.79,26903.88
Middle East and North Africa,Algeria,Baby Food,Offline,977806651,3572,255.28,159.42,342411.92
Europe,Estonia,Fruits,Online,579463422,4958,9.33,6.92,11948.78
Australia and Oceania,Tuvalu,Beverages,Offline,610864150,7132,47.45,31.79,111687.12
Middle East and North Africa,Saudi Arabia,Snacks,Offline,604870164,3378,152.58,97.44,186262.92
Central America and the Caribbean,Cuba,Cereal,Online,164655292,4015,205.7,117.11,355688.85
Europe,Montenegro,Fruits,Offline,313705861,1390,9.33,6.92,3349.9
Central America and the Caribbean,Guatemala,Office Supplies,Online,345820701,4885,651.21,524.96,616731.25
Sub-Saharan Africa,Guinea,Baby Food,Online,975111138,5910,255.28,159.42,566532.6
Australia and Oceania,Vanuatu,Snacks,Online,286001002,2907,152.58,97.44,160291.98
Middle East and North Africa,United Arab Emirates,Cosmetics,Offline,483226621,6350,437.2,263.33,1104074.5
Australia and Oceania,Australia,Clothes,Offline,241836822,3744,109.28,35.84,274959.36
Middle East and North Africa,Oman,Clothes,Online,557192933,4626,109.28,35.84,339733.44
Sub-Saharan Africa,Malawi,Meat,Online,694968783,5562,421.89,364.69,318146.4
Middle East and North Africa,Lebanon,Fruits,Online,441150701,5150,9.33,6.92,12411.5
Europe,Czech Republic,Cereal,Online,552037513,9022,205.7,117.11,799258.98
Australia and Oceania,Vanuatu,Cosmetics,Offline,504240548,4838,437.2,263.33,841183.06
